25 300 25
1 2 276.27884464793897 23
1 3 766.8754788099565 25
1 4 279.7892063679369 17
1 5 435.29530206516125 23
1 6 743.0585441269079 14
1 7 140.470637501223 13
1 8 343.04810158343685 17
1 9 705.2921380534452 13
1 10 244.5240274492468 16
1 11 170.53152201279386 11
1 12 184.58873205046942 6
1 13 557.294356691327 7
1 14 649.9861536986768 10
1 15 524.8714128241317 4
1 16 443.1895756896816 7
1 17 52.20153254455275 21
1 18 320.7397699070073 17
1 19 501.3232490120521 21
1 20 457.10830226544783 6
1 21 154.72879499304582 22
1 22 466.1941655576569 1
1 23 651.9892637152855 8
1 24 701.0534929661217 19
1 25 358.74503480884584 23
2 3 976.3872182694732 2
2 4 448.4016057063132 13
2 5 700.0028571370262 6
2 6 948.8487761492871 16
2 7 413.63026968537974 4
2 8 615.6524993858143 12
2 9 935.9086493883898 19
2 10 505.0009900980393 10
2 11 389.96025438498214 22
2 12 459.76189489778295 7
2 13 815.0662549756308 10
2 14 926.0604731873616 24
2 15 690.0550702661346 18
2 16 645.8335698924298 10
2 17 300.7341018241862 11
2 18 509.6076922496363 18
2 19 771.3138142157186 15
2 20 694.2521155891425 14
2 21 299.1471209956733 7
2 22 640.8970276105202 22
2 23 909.182049976791 22
2 24 960.9380833331563 7
2 25 238.20999139414786 5
3 4 936.9589105184923 10
3 5 419.99047608249407 15
3 6 31.144823004794873 14
3 7 711.4899858747135 11
3 8 662.8423643672755 10
3 9 118.03812943282352 4
3 10 540.8974024711156 17
3 11 602.2001328462159 11
3 12 678.4253827798603 16
3 13 319.82026202228025 16
3 14 546.0036629913759 14
3 15 1077.1610835896365 12
3 16 331.1268639056638 22
3 17 717.9561267932742 25
3 18 466.93040166602987 15
3 19 431.0185610852507 18
3 20 321.0389384482823 17
3 21 897.0312146185327 9
3 22 343.41956845817623 21
3 23 288.0 13
3 24 307.6003901167877 9
3 25 854.5712375220687 14
4 5 532.634959423431 11
4 6 919.187684860932 22
4 7 236.59670327373541 2
4 8 315.9810120877519 5
4 9 849.4192133452127 5
4 10 404.8135373230495 24
4 11 415.0192766607354 22
4 12 260.2786967848118 1
4 13 658.4291913334341 4
4 14 638.3760647142091 16
4 15 250.71098898931416 13
4 16 649.4990377206112 17
4 17 321.155725466634 25
4 18 556.0323731582541 23
4 19 564.4546040205537 13
4 20 616.7738645565325 3
4 21 153.56106277308712 10
4 22 693.9920748827035 7
4 23 744.4326698902997 9
4 24 781.0057618225361 21
4 25 615.7661893933443 3
5 6 408.3944171998437 4
5 7 332.2318467576521 12
5 8 242.86621831782205 17
5 9 320.4886893480018 8
5 10 195.0230755577401 23
5 11 321.43584118763107 14
5 12 288.90309794116087 20
5 13 127.94139283281233 1
5 14 275.0708999512671 17
5 15 657.1727322401623 5
5 16 247.0 1
5 17 400.4509957535379 19
5 18 289.882734911895 2
5 19 82.15229759416349 19
5 20 138.31124321616085 15
5 21 526.9354799214036 20
5 22 322.37400639629743 20
5 23 220.27255843613383 7
5 24 266.5520587052368 18
5 25 678.8725948217383 6
6 7 691.6212836516818 4
6 8 650.7303589045158 21
6 9 124.19742348374221 23
6 10 520.438276839819 7
6 11 577.1698190307598 7
6 12 659.8219456792871 9
6 13 315.15869018638847 8
6 14 549.9909090157764 23
6 15 1065.0230044463829 5
6 16 304.59973736035954 10
6 17 693.6634630712505 23
6 18 439.80222827993947 12
6 19 425.1693780130455 9
6 20 302.42354405700627 21
6 21 875.3427899971531 21
6 22 313.84868965793055 15
6 23 292.6465444866896 20
6 24 317.32002773225645 6
6 25 824.4622489841485 11
7 8 202.76587484091104 3
7 9 633.0284353802758 23
7 10 171.5925406304132 18
7 11 191.1674658512792 10
7 12 48.010415536631214 11
7 13 459.7488444792439 8
7 14 517.7200015452368 13
7 15 447.1889980757577 6
7 16 413.48397792417546 6
7 17 142.52368224263643 5
7 18 321.8850726579286 24
7 19 386.24474106452243 9
7 20 390.69169430639295 21
7 21 194.74342094150447 4
7 22 457.6166517949276 17
7 23 552.4436622860289 5
7 24 597.0393621864474 3
7 25 488.3052324110402 12
8 9 561.5950498357336 19
8 10 225.16216378423795 11
8 11 335.1492204973779 12
8 12 159.66527487215245 7
8 13 357.94552658190884 4
8 14 331.3608305156178 4
8 15 414.36698710201324 19
8 16 438.8314027049568 23
8 17 337.2906758272455 21
8 18 406.9889433387595 19
8 19 254.46610776290032 10
8 20 361.96408661633825 8
8 21 363.02203789852757 25
8 22 505.0633623615952 17
8 23 436.4951317025197 5
8 24 468.710998377465 5
8 25 679.4262285193294 7
9 10 467.3638839277164 17
9 11 549.7090139337357 5
9 12 595.6676925937817 23
9 13 208.43224318708465 16
9 14 428.02920461108727 10
9 15 974.2756283516487 14
9 16 298.67038688159226 9
9 17 659.4679673797659 4
9 18 431.76961449365564 23
9 19 319.95312156626943 6
9 20 248.20354550247666 7
9 21 824.293637000796 10
9 22 336.3004608976919 15
9 23 170.02646852769718 25
9 24 193.28993765843063 25
9 25 841.152185992523 3
10 11 134.6142637315972 1
10 12 145.79780519610026 5
10 13 313.22994748267604 21
10 14 442.6036601746533 21
10 15 590.3846203958907 8
10 16 246.22144504490262 12
10 17 206.17710833164773 4
10 18 183.30848316430968 22
10 19 268.96282270975667 17
10 20 221.20578654275752 24
10 21 357.4646835702794 17
10 22 299.1471209956733 15
10 23 407.9534287146022 14
10 24 457.94759525517765 12
10 25 498.68827938903877 11
11 12 200.0 3
11 13 428.01869118065395 19
11 14 577.1178389202677 11
11 15 638.0195921756635 16
11 16 274.40116617827994 15
11 17 118.80235687897779 20
11 18 150.60212481900777 19
11 19 399.59229221795556 3
11 20 304.8688242506931 1
11 21 319.06112267087633 10
11 22 295.94931998570297 23
11 23 521.1880658649045 8
11 24 574.0008710794784 6
11 25 364.0782882842645 7
12 13 416.8069097315926 10
12 14 469.8861564251494 19
12 15 450.1521964847 6
12 16 391.95918154828314 12
12 17 178.21896644296868 9
12 18 313.95700342562833 8
12 19 339.8028840372018 21
12 20 357.5262228144951 11
12 21 239.0815760362977 5
12 22 442.2329702769797 16
12 23 508.5872589831562 14
12 24 552.091477927345 22
12 25 522.7245928785062 11
13 14 258.11818998280614 15
13 15 767.7532155582287 12
13 16 267.37239947309445 12
13 17 519.0472040190565 10
13 18 359.0891254271006 24
13 19 111.61541112229978 21
13 20 152.81688388394784 7
13 21 654.492169548269 3
13 22 338.04437578519185 15
13 23 94.72592042308166 7
13 24 146.03081866510234 13
13 25 770.444676793863 16
14 15 658.8019429236681 15
14 16 508.2056670286155 5
14 17 628.9554833213556 23
14 18 564.9070720038828 6
14 19 194.4556504707436 14
14 20 389.89485762189787 15
14 21 693.4875629742756 21
14 22 582.9828470890031 19
14 23 258.00775182152955 23
14 24 248.29418035870273 24
14 25 940.9888415916524 19
15 16 832.9639848156702 20
15 17 560.7361233236182 2
15 18 764.0549718443039 17
15 19 658.8330592798148 3
15 20 772.0893730650616 11
15 21 403.2976568243361 16
15 22 889.528526805071 16
15 23 837.7231046115417 7
15 24 860.8193771053252 17
15 25 866.4640788861359 21
16 17 392.4716550274682 18
16 18 136.2974687952788 23
16 19 317.2790569829657 15
16 20 118.56221995222593 22
16 21 583.4860752408749 19
16 22 75.59100475585703 16
16 23 336.304921165302 23
16 24 390.56497538821884 8
16 25 543.0147327651433 5
17 18 268.6726632912251 20
17 19 470.61236702832196 14
17 20 411.7001335924 7
17 21 205.41178155110774 17
17 22 414.12075533592855 17
17 23 613.7141028198716 24
17 24 664.0820732409511 16
17 25 345.8973836269942 13
18 19 371.43640101637857 14
18 20 210.3188056261256 18
18 21 469.2771036392038 17
18 22 145.45446022724775 10
18 23 442.87244213204326 16
18 24 497.92569726817675 25
18 25 416.77331968349415 11
19 20 200.80089641234176 18
19 21 578.4410082281511 20
19 22 392.7390991485314 8
19 23 182.03571078225283 11
19 24 216.69563908856125 9
19 25 759.5320928045107 11
20 21 578.6233662755074 25
20 22 193.0932417253385 25
20 23 232.606964642076 8
20 24 287.6803781977492 17
20 25 626.2475548854462 7
21 22 614.0244294814336 25
21 23 747.0856711248048 19
21 24 791.1365242485016 15
21 25 463.9536614792473 22
22 23 399.9812495605263 7
22 24 452.9293543147761 4
22 25 511.8915900852445 23
23 24 55.08175741568164 21
23 25 857.934729452072 12
24 25 912.7814634401818 18
